Reference,Qty,Value,Datasheet,MP,Description
"U1,U3,U5,U7,U9",5,TCRT5000,https://www.lcsc.com/datasheet/C24085.pdf?spm=wm.fly.bg.0.pdf&lcsc_vid=T1gKA1MARgVZUlMCRlhdA1VQRVNaVQFRFlRfAlBUFlcxVlNRT1RWU1VSRVRZXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRllfSQwSGg0%3D,TCRT5000,950 nm 60 mA Through Hole Reflective Optical Sensor with Transistor Output
"U2,U4,U6,U8,U10",5,LM393AD,https://www.ti.com/lit/ds/symlink/lm193.pdf?HQS=dis-mous-null-mousermode-dsf-pf-null-wwe&ts=1778583813238&ref_url=https%253A%252F%252Feu.mouser.com%252F,LM393AD,"Precision dual differential comparator, industrial grade"
U11,1,L298N,http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000240.pdf,,"Dual full bridge motor driver, up to 46V, 4A, Multiwatt15-V"
U12,1,KA78M05_TO252,https://www.onsemi.com/pub/Collateral/MC78M00-D.PDF,,"Positive 500mA 35V Linear Regulator, Fixed Output 5V, TO-252 (D-PAK)"
U13,1,CC2540F256RHAT,https://www.ti.com/lit/ds/symlink/cc2540.pdf?ts=1778516829410&ref_url=https%253A%252F%252Fwww.google.com%252F,CC2540F256RHAT,Bluetooth® Low Energy wireless MCU with USB
U14,1,,https://www.ti.com/lit/an/swra117d/swra117d.pdf,,2.4 GHZ Antenna
U15,1,ATmega2560-16A,http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-2549-8-bit-AVR-Microcontroller-ATmega640-1280-1281-2560-2561_datasheet.pdf,,"16MHz, 256kB Flash, 8kB SRAM, 4kB EEPROM, JTAG, TQFP-100"
U16,1,ATmega16U2-M,http://ww1.microchip.com/downloads/en/DeviceDoc/doc7799.pdf,,"16MHz, 16kB Flash, 512B SRAM, 512B EEPROM, QFN-32"
U17,1,NCP1117-3.3_TO252,http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF,,"1A Low drop-out regulator, Fixed Output 3.3V, TO-252 (DPAK)"
"VR3,VR4,VR5,VR6,VR7",5,Variable_Resistor_3362P,https://www.lcsc.com/datasheet/C48997906.pdf?spm=wm.fly.bg.2.pdf___wm.ssy.tc.1.tz&lcsc_vid=T1gKA1MARgVZUlMCRlhdA1VQRVNaVQFRFlRfAlBUFlcxVlNRT1RWU1NURFhWUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhbSQwSGg0%3D,3362P-1-103RLF,TRIMMER - 1/4in SQ ST CERMET | Bourns 3362P-1-103RLF
Y1,1,32K,https://www.lcsc.com/datasheet/C6524090.pdf?spm=wm.fly.bg.0.pdf&lcsc_vid=T1gKA1MARgVZUlMCRlhdA1VQRVNaVQFRFlRfAlBUFlcxVlNRT1RWU11eRlBdUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhdSQwSGg0%3D,SXT2248BB48-32.000M,Crystal 32MHz ±30ppm (Tol) ±30ppm (Stability) 8pF FUND 60Ohm Medical 4-Pin Ultra Mini-CSMD T/R
Y2,1,32M,https://www.lcsc.com/datasheet/C6524090.pdf?spm=wm.fly.bg.0.pdf&lcsc_vid=T1gKA1MARgVZUlMCRlhdA1VQRVNaVQFRFlRfAlBUFlcxVlNRT1RWU11eRlBdUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhdSQwSGg0%3D,SXT2248BB48-32.000M,Crystal 32MHz ±30ppm (Tol) ±30ppm (Stability) 8pF FUND 60Ohm Medical 4-Pin Ultra Mini-CSMD T/R
Y3,1,16M,https://www.lcsc.com/datasheet/C6524090.pdf?spm=wm.fly.bg.0.pdf&lcsc_vid=T1gKA1MARgVZUlMCRlhdA1VQRVNaVQFRFlRfAlBUFlcxVlNRT1RWU11eRlBdUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhdSQwSGg0%3D,SXT2248BB48-32.000M,Crystal 32MHz ±30ppm (Tol) ±30ppm (Stability) 8pF FUND 60Ohm Medical 4-Pin Ultra Mini-CSMD T/R
Y4,1,16M,https://www.lcsc.com/datasheet/C341521.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.stp&lcsc_vid=T1gKA1MARgVZUlMCRlhdA1VQRVNaVQFRFlRfAlBUFlcxVlNRT1RWVF1XRVdYVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,CSTCE16M0V53R0,"RESONATOR, CERAMIC, 16MHZ, SMD; Frequency:16MHz; Oscillator Mounting:SMD; No. of Pins:3 Pin; Resonant Impedance:40ohm; Frequency Tolerance:± 0.5%; Product Range:-; Frequency Stability:-; Operating Temperature Min:-20°C; Operating Temperature Max:80°C; SVHC:No SVHC (07-Jul-2017); No. of Pins:3Pins"
